,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,attack_time,attack_start,attack_stop,zero_crossing,spec_centroid,pitch
66,,None_f33,486472__tkky__piano-chopped-edited.wav,990207,1013248,0.0014469480154446228,-1054.2441,247.90067,132.74017,25.768097,-23.21925,-19.319855,0.2036438,8.94561,8.014416,8.554623,10.968483,6.6135216,-6.3103333,-1.9704965353012085,0.0004081632650922984,0.011111111380159855,0.012715909630060196,323.65496826171875,52.0
67,,None_f33,486472__tkky__piano-chopped-edited.wav,990207,1013248,0.0014469480154446228,-1054.2441,247.90067,132.74017,25.768097,-23.21925,-19.319855,0.2036438,8.94561,8.014416,8.554623,10.968483,6.6135216,-6.3103333,-1.9704965353012085,0.0004081632650922984,0.011111111380159855,0.012715909630060196,323.65496826171875,52.0
68,,None_f34,486472__tkky__piano-chopped-edited.wav,1013248,1037312,0.0010170746356882947,-1068.2075,235.71313,135.45605,36.646133,-15.295856,-17.227417,1.7911224,12.743572,8.376736,-0.93063354,-4.7393265,-2.5928535,0.025485992,-2.3099849224090576,0.0,0.004897959064692259,0.00822805892676115,183.86521911621094,0.0
69,,None_f34,486472__tkky__piano-chopped-edited.wav,1013248,1037312,0.0010170746356882947,-1068.2075,235.71313,135.45605,36.646133,-15.295856,-17.227417,1.7911224,12.743572,8.376736,-0.93063354,-4.7393265,-2.5928535,0.025485992,-2.3099849224090576,0.0,0.004897959064692259,0.00822805892676115,183.86521911621094,0.0
70,,None_f35,486472__tkky__piano-chopped-edited.wav,1037312,1060864,0.0015706896134044814,-1066.478,238.45981,139.0412,41.293106,-10.039814,-12.530373,4.6698,13.432842,7.8919945,-0.76348877,-2.630371,1.1375923,3.5634918,-1.051817774772644,0.0,0.08875283598899841,0.006029211916029453,152.60964965820312,45.0
71,,None_f35,486472__tkky__piano-chopped-edited.wav,1037312,1060864,0.0015706896134044814,-1066.478,238.45981,139.0412,41.293106,-10.039814,-12.530373,4.6698,13.432842,7.8919945,-0.76348877,-2.630371,1.1375923,3.5634918,-1.051817774772644,0.0,0.08875283598899841,0.006029211916029453,152.60964965820312,45.0
72,,None_f36,486472__tkky__piano-chopped-edited.wav,1060864,1084928,0.0013501989714642787,-1035.2538,261.96927,123.16406,7.070862,-31.489208,-15.768799,1.3481293,-1.9120865,-10.238136,-7.594742,1.0527573,3.5120506,-0.7209053,-1.567070722579956,0.0,0.027097506448626518,0.015167885459959507,337.1273193359375,59.0
73,,None_f36,486472__tkky__piano-chopped-edited.wav,1060864,1084928,0.0013501989714642787,-1035.2538,261.96927,123.16406,7.070862,-31.489208,-15.768799,1.3481293,-1.9120865,-10.238136,-7.594742,1.0527573,3.5120506,-0.7209053,-1.567070722579956,0.0,0.027097506448626518,0.015167885459959507,337.1273193359375,59.0
74,,None_f37,486472__tkky__piano-chopped-edited.wav,1084928,1110016,0.0016337957005111538,-1054.5378,248.58246,134.3139,24.405518,-30.555859,-30.951622,-11.762505,-2.960289,-7.856346,-13.149475,-10.126686,-2.216343,3.4372253,-1.611819863319397,0.0015419501578435302,0.02598639391362667,0.014907525852322578,321.67523193359375,52.0
75,,None_f37,486472__tkky__piano-chopped-edited.wav,1084928,1110016,0.0016337957005111538,-1054.5378,248.58246,134.3139,24.405518,-30.555859,-30.951622,-11.762505,-2.960289,-7.856346,-13.149475,-10.126686,-2.216343,3.4372253,-1.611819863319397,0.0015419501578435302,0.02598639391362667,0.014907525852322578,321.67523193359375,52.0
76,,None_f38,486472__tkky__piano-chopped-edited.wav,1110016,1133056,0.0009905902047952016,-1063.7148,236.04279,123.703064,18.008759,-31.362072,-27.654747,-8.336815,-2.7089767,-10.360313,-14.75441,-7.759613,3.6247978,9.834694,-2.5440680980682373,0.0004761904710903764,0.0033333334140479565,0.0164930559694767,348.0361022949219,48.0
77,,None_f38,486472__tkky__piano-chopped-edited.wav,1110016,1133056,0.0009905902047952016,-1063.7148,236.04279,123.703064,18.008759,-31.362072,-27.654747,-8.336815,-2.7089767,-10.360313,-14.75441,-7.759613,3.6247978,9.834694,-2.5440680980682373,0.0004761904710903764,0.0033333334140479565,0.0164930559694767,348.0361022949219,48.0
78,,None_f39,486472__tkky__piano-chopped-edited.wav,1133056,1154560,0.0014019221777007694,-1068.4044,233.69467,129.41919,26.720352,-27.630032,-31.056694,-13.777824,-4.7239914,-9.593208,-16.512604,-15.097771,-6.4064293,2.3848305,-2.18959379196167,0.0010657596867531538,0.007528344634920359,0.014787946827709675,321.55023193359375,64.0
79,,None_f39,486472__tkky__piano-chopped-edited.wav,1133056,1154560,0.0014019221777007694,-1068.4044,233.69467,129.41919,26.720352,-27.630032,-31.056694,-13.777824,-4.7239914,-9.593208,-16.512604,-15.097771,-6.4064293,2.3848305,-2.18959379196167,0.0010657596867531538,0.007528344634920359,0.014787946827709675,321.55023193359375,64.0
