,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,attack_time,attack_start,attack_stop,zero_crossing,spec_centroid
86,,None_f43,194817__csum__amen-break-mashed-164bpm.wav,283136,287232,0.004395500291138887,-622.3622,52.797943,-23.90297,60.0627,-5.83873,-7.5326157,-28.713724,9.0330715,-10.90934,-5.6880302,-12.628679,-0.6371727,-11.199194,-1.1169376373291016,0.0002040816325461492,0.0765986368060112,0.128662109375,2162.60693359375
87,,None_f43,194817__csum__amen-break-mashed-164bpm.wav,283136,287232,0.004395500291138887,-622.3622,52.797943,-23.90297,60.0627,-5.83873,-7.5326157,-28.713724,9.0330715,-10.90934,-5.6880302,-12.628679,-0.6371727,-11.199194,-1.1169376373291016,0.0002040816325461492,0.0765986368060112,0.128662109375,2162.60693359375
88,,None_f44,194817__csum__amen-break-mashed-164bpm.wav,287232,299008,0.008635572765184485,-673.9364,94.98923,25.40247,105.98653,19.093803,25.000214,-4.9341793,35.00948,3.5653,0.735569,-6.5056515,2.3554611,-10.230431,-1.023054599761963,0.0006122448830865324,0.09544217586517334,0.056980300694704056,894.9208374023438
89,,None_f44,194817__csum__amen-break-mashed-164bpm.wav,287232,299008,0.008635572765184485,-673.9364,94.98923,25.40247,105.98653,19.093803,25.000214,-4.9341793,35.00948,3.5653,0.735569,-6.5056515,2.3554611,-10.230431,-1.023054599761963,0.0006122448830865324,0.09544217586517334,0.056980300694704056,894.9208374023438
90,,None_f45,194817__csum__amen-break-mashed-164bpm.wav,299008,306688,0.009500705202420552,-685.56134,95.91736,21.209934,104.40558,16.579185,29.768606,-3.6837883,29.097992,0.8620682,7.8918457,3.089222,5.6967773,-8.2423935,-2.0489423274993896,0.0,0.00893424078822136,0.02955729141831398,663.2996215820312
91,,None_f45,194817__csum__amen-break-mashed-164bpm.wav,299008,306688,0.009500705202420552,-685.56134,95.91736,21.209934,104.40558,16.579185,29.768606,-3.6837883,29.097992,0.8620682,7.8918457,3.089222,5.6967773,-8.2423935,-2.0489423274993896,0.0,0.00893424078822136,0.02955729141831398,663.2996215820312
92,,None_f46,194817__csum__amen-break-mashed-164bpm.wav,306688,315392,0.0038833456004367154,-629.85895,71.20041,-48.47922,61.752087,-16.463783,24.156523,-10.959991,12.865562,-13.068064,-1.1916237,-5.541027,0.22420883,-11.214174,-5.0,0.0010430838447064161,0.0011111111380159855,0.14303767681121826,2931.84375
93,,None_f46,194817__csum__amen-break-mashed-164bpm.wav,306688,315392,0.0038833456004367154,-629.85895,71.20041,-48.47922,61.752087,-16.463783,24.156523,-10.959991,12.865562,-13.068064,-1.1916237,-5.541027,0.22420883,-11.214174,-5.0,0.0010430838447064161,0.0011111111380159855,0.14303767681121826,2931.84375
94,,None_f47,194817__csum__amen-break-mashed-164bpm.wav,315392,319488,0.0036267663817852736,-619.58997,23.967688,-30.11194,68.07041,-18.87757,3.2592106,-32.457443,-0.52437973,-8.214224,-2.8796043,-12.2857,-3.9373474,-14.800648,-1.1250044107437134,0.0,0.07498866319656372,0.16943359375,3252.849365234375
95,,None_f47,194817__csum__amen-break-mashed-164bpm.wav,315392,319488,0.0036267663817852736,-619.58997,23.967688,-30.11194,68.07041,-18.87757,3.2592106,-32.457443,-0.52437973,-8.214224,-2.8796043,-12.2857,-3.9373474,-14.800648,-1.1250044107437134,0.0,0.07498866319656372,0.16943359375,3252.849365234375
96,,None_f48,194817__csum__amen-break-mashed-164bpm.wav,319488,323584,0.010211854241788387,-601.11115,75.72005,-23.285387,75.03398,-13.467213,13.184296,-10.547859,16.500095,0.07437134,7.776251,-9.414967,-3.486065,-17.36534,-1.1406478881835938,0.0003401360590942204,0.07267573475837708,0.136962890625,1438.701904296875
97,,None_f48,194817__csum__amen-break-mashed-164bpm.wav,319488,323584,0.010211854241788387,-601.11115,75.72005,-23.285387,75.03398,-13.467213,13.184296,-10.547859,16.500095,0.07437134,7.776251,-9.414967,-3.486065,-17.36534,-1.1406478881835938,0.0003401360590942204,0.07267573475837708,0.136962890625,1438.701904296875
98,,None_f49,194817__csum__amen-break-mashed-164bpm.wav,323584,330752,0.01086757970707757,-642.91925,87.33207,-4.4772873,104.89735,7.5634003,31.334887,3.4356155,17.243876,-1.6856041,4.4534206,-2.4305115,2.2357826,-14.871204,-2.0489423274993896,0.0007709750789217651,0.009705215692520142,0.0538504458963871,866.8228759765625
99,,None_f49,194817__csum__amen-break-mashed-164bpm.wav,323584,330752,0.01086757970707757,-642.91925,87.33207,-4.4772873,104.89735,7.5634003,31.334887,3.4356155,17.243876,-1.6856041,4.4534206,-2.4305115,2.2357826,-14.871204,-2.0489423274993896,0.0007709750789217651,0.009705215692520142,0.0538504458963871,866.8228759765625
100,,None_f50,194817__csum__amen-break-mashed-164bpm.wav,330752,339456,0.003555198364398059,-627.6158,60.507675,-23.55028,77.6828,-4.5528393,19.536793,-14.348656,20.874407,-4.1997337,0.60985565,-9.922817,-10.506828,-19.946795,-0.7282479405403137,2.2675736545352265e-05,0.186984121799469,0.15544576942920685,3063.64794921875
101,,None_f50,194817__csum__amen-break-mashed-164bpm.wav,330752,339456,0.003555198364398059,-627.6158,60.507675,-23.55028,77.6828,-4.5528393,19.536793,-14.348656,20.874407,-4.1997337,0.60985565,-9.922817,-10.506828,-19.946795,-0.7282479405403137,2.2675736545352265e-05,0.186984121799469,0.15544576942920685,3063.64794921875
102,,None_f51,194817__csum__amen-break-mashed-164bpm.wav,339456,347136,0.0037851018210252126,-625.63074,80.25716,-44.27993,57.34305,-9.859722,19.32499,-15.134966,5.693783,-11.3306465,7.4831734,3.2748756,5.408272,-11.968071,-5.0,0.0,2.2675736545352265e-05,0.1321614533662796,2743.070068359375
103,,None_f51,194817__csum__amen-break-mashed-164bpm.wav,339456,347136,0.0037851018210252126,-625.63074,80.25716,-44.27993,57.34305,-9.859722,19.32499,-15.134966,5.693783,-11.3306465,7.4831734,3.2748756,5.408272,-11.968071,-5.0,0.0,2.2675736545352265e-05,0.1321614533662796,2743.070068359375
104,,None_f52,194817__csum__amen-break-mashed-164bpm.wav,347136,351744,0.0041293663283189135,-630.6579,47.05844,-24.726973,60.525787,-6.385523,-8.8814125,-28.536871,9.159803,-10.55089,-6.150654,-14.920021,-2.1522884,-13.094564,-1.06022047996521,0.00011337868636474013,0.08716553449630737,0.1295572966337204,2300.962890625
105,,None_f52,194817__csum__amen-break-mashed-164bpm.wav,347136,351744,0.0041293663283189135,-630.6579,47.05844,-24.726973,60.525787,-6.385523,-8.8814125,-28.536871,9.159803,-10.55089,-6.150654,-14.920021,-2.1522884,-13.094564,-1.06022047996521,0.00011337868636474013,0.08716553449630737,0.1295572966337204,2300.962890625
106,,None_f53,194817__csum__amen-break-mashed-164bpm.wav,351744,355840,0.0069795032031834126,-582.715,72.273,-41.745285,51.254517,-18.748457,-4.516575,-37.68215,-1.8227463,-10.751369,0.12813187,-4.5046005,6.6275826,-9.433325,-1.1537779569625854,0.0007936508045531809,0.07097505778074265,0.13037109375,2227.6591796875
107,,None_f53,194817__csum__amen-break-mashed-164bpm.wav,351744,355840,0.0069795032031834126,-582.715,72.273,-41.745285,51.254517,-18.748457,-4.516575,-37.68215,-1.8227463,-10.751369,0.12813187,-4.5046005,6.6275826,-9.433325,-1.1537779569625854,0.0007936508045531809,0.07097505778074265,0.13037109375,2227.6591796875
108,,None_f54,194817__csum__amen-break-mashed-164bpm.wav,355840,363520,0.004571170608202616,-630.3306,70.17944,-45.174553,54.107517,-20.91514,13.433195,-12.898941,16.458721,-5.809366,6.815613,-4.697033,7.056225,-4.9715443,-0.7681629657745361,0.0,0.17054422199726105,0.126953125,2313.587158203125
109,,None_f54,194817__csum__amen-break-mashed-164bpm.wav,355840,363520,0.004571170608202616,-630.3306,70.17944,-45.174553,54.107517,-20.91514,13.433195,-12.898941,16.458721,-5.809366,6.815613,-4.697033,7.056225,-4.9715443,-0.7681629657745361,0.0,0.17054422199726105,0.126953125,2313.587158203125
110,,None_f55,194817__csum__amen-break-mashed-164bpm.wav,363520,371200,0.009732469916343689,-675.48663,102.50214,14.157253,100.85648,12.692028,29.722645,4.164852,23.629944,2.779827,7.2346992,2.6076546,3.880165,-9.205299,-1.9751217365264893,0.0006122448830865324,0.011201813817024231,0.04309896007180214,776.5299682617188
111,,None_f55,194817__csum__amen-break-mashed-164bpm.wav,363520,371200,0.009732469916343689,-675.48663,102.50214,14.157253,100.85648,12.692028,29.722645,4.164852,23.629944,2.779827,7.2346992,2.6076546,3.880165,-9.205299,-1.9751217365264893,0.0006122448830865324,0.011201813817024231,0.04309896007180214,776.5299682617188
112,,None_f56,194817__csum__amen-break-mashed-164bpm.wav,371200,384000,0.0035442522168159483,-639.3746,55.292305,-34.670624,68.995056,-8.400927,17.315876,-17.27106,16.63088,-6.5499573,-2.0125427,-7.263977,-4.2039795,-11.772163,-1.9560188055038452,0.0,0.01106575969606638,0.1463281214237213,2867.11376953125
113,,None_f56,194817__csum__amen-break-mashed-164bpm.wav,371200,384000,0.0035442522168159483,-639.3746,55.292305,-34.670624,68.995056,-8.400927,17.315876,-17.27106,16.63088,-6.5499573,-2.0125427,-7.263977,-4.2039795,-11.772163,-1.9560188055038452,0.0,0.01106575969606638,0.1463281214237213,2867.11376953125
114,,None_f57,194817__csum__amen-break-mashed-164bpm.wav,384000,388096,0.007936031557619572,-614.8004,75.28946,-29.784729,64.48273,-25.134592,7.1202297,-20.500305,6.314699,-11.586796,-1.793602,-19.70536,-8.401028,-25.519978,-1.1234313249588013,0.00015873015217948705,0.07541950047016144,0.13671875,1462.61376953125
115,,None_f57,194817__csum__amen-break-mashed-164bpm.wav,384000,388096,0.007936031557619572,-614.8004,75.28946,-29.784729,64.48273,-25.134592,7.1202297,-20.500305,6.314699,-11.586796,-1.793602,-19.70536,-8.401028,-25.519978,-1.1234313249588013,0.00015873015217948705,0.07541950047016144,0.13671875,1462.61376953125
116,,None_f58,194817__csum__amen-break-mashed-164bpm.wav,388096,392704,0.014891071452034844,-596.3259,83.03781,-7.143179,114.89132,6.8215027,18.117842,-0.753479,22.442839,-6.3863735,10.86672,-2.5960693,-1.6981926,-7.8779564,-2.8520467281341553,0.002743764081969857,0.004149660002440214,0.0687934011220932,1046.4259033203125
117,,None_f58,194817__csum__amen-break-mashed-164bpm.wav,388096,392704,0.014891071452034844,-596.3259,83.03781,-7.143179,114.89132,6.8215027,18.117842,-0.753479,22.442839,-6.3863735,10.86672,-2.5960693,-1.6981926,-7.8779564,-2.8520467281341553,0.002743764081969857,0.004149660002440214,0.0687934011220932,1046.4259033203125
118,,None_f59,194817__csum__amen-break-mashed-164bpm.wav,392704,395775,0.007311468943953514,-581.4392,43.48326,-40.06272,102.483795,-4.876999,8.209873,-15.300444,16.59041,-9.079197,10.17646,-0.052597046,-12.33111,-15.84037,-1.2266348600387573,0.0003174603043589741,0.059659864753484726,0.1399739533662796,2874.224609375
119,,None_f59,194817__csum__amen-break-mashed-164bpm.wav,392704,395775,0.007311468943953514,-581.4392,43.48326,-40.06272,102.483795,-4.876999,8.209873,-15.300444,16.59041,-9.079197,10.17646,-0.052597046,-12.33111,-15.84037,-1.2266348600387573,0.0003174603043589741,0.059659864753484726,0.1399739533662796,2874.224609375
120,,None_f60,194817__csum__amen-break-mashed-164bpm.wav,395775,403967,0.010282687842845917,-638.4971,102.52408,9.1179085,122.78404,9.07058,34.560364,1.7129822,16.720419,-5.492052,3.6832695,-8.016996,-2.7389565,-7.642317,-1.9864271879196167,0.0,0.010317460633814335,0.0484619140625,1141.39599609375
121,,None_f60,194817__csum__amen-break-mashed-164bpm.wav,395775,403967,0.010282687842845917,-638.4971,102.52408,9.1179085,122.78404,9.07058,34.560364,1.7129822,16.720419,-5.492052,3.6832695,-8.016996,-2.7389565,-7.642317,-1.9864271879196167,0.0,0.010317460633814335,0.0484619140625,1141.39599609375
122,,None_f61,194817__csum__amen-break-mashed-164bpm.wav,403967,411648,0.003567606482273649,-643.12213,65.475685,-47.979454,64.13004,-5.9995346,16.74132,-16.483938,11.482311,-15.039236,-7.689617,-16.078827,-2.8276787,-12.006008,-0.7758529186248779,0.0005668934318237007,0.16811791062355042,0.12835198640823364,2680.310791015625
123,,None_f61,194817__csum__amen-break-mashed-164bpm.wav,403967,411648,0.003567606482273649,-643.12213,65.475685,-47.979454,64.13004,-5.9995346,16.74132,-16.483938,11.482311,-15.039236,-7.689617,-16.078827,-2.8276787,-12.006008,-0.7758529186248779,0.0005668934318237007,0.16811791062355042,0.12835198640823364,2680.310791015625
124,,None_f62,194817__csum__amen-break-mashed-164bpm.wav,411648,420352,0.003123700399609173,-626.86487,65.176056,-36.818077,65.64639,-15.08535,3.0326881,-30.922283,1.9148178,-14.469761,-3.0210075,-10.56624,-4.6827736,-15.233112,-2.2789506912231445,0.0007709750789217651,0.006031746044754982,0.1519990861415863,3192.64208984375
125,,None_f62,194817__csum__amen-break-mashed-164bpm.wav,411648,420352,0.003123700399609173,-626.86487,65.176056,-36.818077,65.64639,-15.08535,3.0326881,-30.922283,1.9148178,-14.469761,-3.0210075,-10.56624,-4.6827736,-15.233112,-2.2789506912231445,0.0007709750789217651,0.006031746044754982,0.1519990861415863,3192.64208984375
126,,None_f63,194817__csum__amen-break-mashed-164bpm.wav,420352,424448,0.003915312234312296,-610.49634,31.939936,-12.289436,69.4234,-16.278267,2.3163815,-33.92993,-5.032831,-10.632969,-6.4319572,-9.347715,-0.18156242,-14.166126,-1.160138726234436,0.0,0.06916099786758423,0.184326171875,3686.903564453125
127,,None_f63,194817__csum__amen-break-mashed-164bpm.wav,420352,424448,0.003915312234312296,-610.49634,31.939936,-12.289436,69.4234,-16.278267,2.3163815,-33.92993,-5.032831,-10.632969,-6.4319572,-9.347715,-0.18156242,-14.166126,-1.160138726234436,0.0,0.06916099786758423,0.184326171875,3686.903564453125
128,,None_f64,194817__csum__amen-break-mashed-164bpm.wav,424448,428032,0.005830444395542145,-599.9954,41.983776,-33.729538,60.827766,-8.744774,-0.8835678,-28.714708,5.3781223,-7.9979515,-4.3045025,-9.77548,-2.673544,-11.913122,-1.1375278234481812,4.535147309070453e-05,0.07290249317884445,0.1392299085855484,2646.401123046875
129,,None_f64,194817__csum__amen-break-mashed-164bpm.wav,424448,428032,0.005830444395542145,-599.9954,41.983776,-33.729538,60.827766,-8.744774,-0.8835678,-28.714708,5.3781223,-7.9979515,-4.3045025,-9.77548,-2.673544,-11.913122,-1.1375278234481812,4.535147309070453e-05,0.07290249317884445,0.1392299085855484,2646.401123046875
130,,None_f65,194817__csum__amen-break-mashed-164bpm.wav,428032,440319,0.0035497027759750686,-626.47266,67.82255,-33.831825,60.485428,-16.260132,8.054621,-23.141022,4.848917,-11.545485,0.75359344,-5.667141,-0.23447418,-17.297932,-1.0927447080612183,6.80272132740356e-05,0.08083900064229965,0.1437174528837204,2697.377685546875
